"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"283",283,39,-123.89,45.07,522,185,1774,0.294250281848929,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1142445516586,438.748532409667,11.7666399597168,1,6.08392642983925,2.46526840555611,0,5.22035582507832,1,0
"284",284,40,-123.89,45.07,804,46,1774,0.453213077790304,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1142445516586,438.748532409667,11.7666399597168,1,6.08392642983925,2.46526840555611,0,3.8286413964891,1,0
"285",285,41,-123.8816,45.1024,560,NA,2063,0.271449345613185,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1352556720868,441.74133422754,11.7761796617602,1,6.09072449409181,2.46607881847342,0,NA,1,0
"286",286,42,-123.88,45.09,1045,22,1679,0.622394282310899,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.087380108436,440.088071899415,11.7788456626892,1,6.08697487029005,2.46630518213923,0,3.09104245335832,1,0
"287",287,43,-123.88,45.09,836,45,1566,0.533844189016603,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.087380108436,440.088071899415,11.7788456626892,1,6.08697487029005,2.46630518213923,0,3.80666248977032,1,0
"288",288,44,-123.88,45.09,926,52,1844,0.502169197396963,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.087380108436,440.088071899415,11.7788456626892,1,6.08697487029005,2.46630518213923,0,3.95124371858143,1,0
"289",289,45,-123.88,45.11,935,14,1914,0.488505747126437,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1538762120406,442.716499633789,11.777954233551,1,6.09292960950616,2.46622949875757,0,2.63905732961526,1,0
"290",290,46,-123.88,45.11,1160,40,2218,0.522993688007214,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1538762120406,442.716499633789,11.777954233551,1,6.09292960950616,2.46622949875757,0,3.68887945411394,1,0
"291",291,47,-123.88,45.11,969,22,2010,0.482089552238806,"Peng 2023, Journal of Ecology","evergreen","Forest","Tsuga heteropylla Sarg",10.1538762120406,442.716499633789,11.777954233551,1,6.09292960950616,2.46622949875757,0,3.09104245335832,1,0
"292",292,48,-123.8605,44.4758,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.62681811871853,449.799570612793,11.8901177063732,1,6.10880208490669,2.47570761026456,0,NA,1,0
"293",293,49,-123.8595,44.4465,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.73664302385646,453.232403628539,11.8983596585131,1,6.11640502621954,2.47640054679372,0,NA,1,0
"294",294,50,-123.7938,44.3983,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,10.2125601915417,469.206779463378,11.9344105281322,1,6.15104356565912,2.47942586838524,0,NA,1,0
