"","X","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate","Elevation","pH","sand","logitBPE","vpd_12","lnvpd_12","g_ppfd","lng_ppfd","MAT","MTCO"
"140",154,154,154,-86.25,39.19,1025,75,1467,0.698704839809134,"Collalti 2020, Nature","deciduous","Forest","Acer saccharum, Liriodendron tulipifera",13.6587259010835,749.097723388672,10.5,0.915068493150685,6.61886944682049,2.35137525716348,-0.0887563606057911,4.31748811353631,0.928767123287671,-0.0738972462020413,0.275,5.3,14.4769996155387,0.841138009494809,706.210464477539,6.55991330139291,31.8043370376934,3.45960266531969,12.4448001464208,-0.908383154869096
"141",155,155,155,-86.41,39.32,974,75,1467,0.663940013633265,"Collalti 2020, Nature","deciduous","Forest","Acer saccharum, Liriodendron tulipifera",13.4157974091443,736.646166381835,9.56431437149049,0.915068493150685,6.60210767701552,2.25803891934972,-0.0887563606057911,4.31748811353631,0.928767123287671,-0.0738972462020413,0.275,5.3,12.2266219889578,0.680902129599844,694.131074218749,6.5426608104239,31.76307524421,3.45830445927992,12.1946139152844,-1.23840451717379
"142",156,156,156,-86.41,39.32,1016.4,75,1452,0.7,"Collalti 2020, Nature","deciduous","Forest","Acer saccharum, Liriodendron tulipifera",13.4157974091443,736.646166381835,9.56431437149049,0.915068493150685,6.60210767701552,2.25803891934972,-0.0887563606057911,4.31748811353631,0.928767123287671,-0.0738972462020413,0.275,5.3,12.2266219889578,0.847297860387203,694.131074218749,6.5426608104239,31.76307524421,3.45830445927992,12.1946139152844,-1.23840451717379
"143",157,157,157,-123.16,44,960,50,1665,0.576576576576577,"Collalti 2020, Nature","deciduous","Forest","Psudotsuga menziesii",11.5418077329795,578.592443847656,10.7075000953674,1,6.36059833308527,2.37094443941399,0,3.91202300542815,1,0,0.17,6,21.097322213774,0.308735481649615,578.592443847656,6.36059833308527,29.0390690008799,3.36864213024434,11.5418077329795,4.44430396556855
"144",158,158,158,-123,44.6,770,NA,1665,0.462462462462462,"Collalti 2020, Nature","evergreen","Forest","Pseudotsuga menziesii",12.0425903002421,602.255477905274,10.4000000953674,1,6.40068173718674,2.34180581531727,0,NA,1,0,0.24,5.9492438583657,12.1338481879182,-0.150433203427128,602.255477905274,6.40068173718674,28.6223450104396,3.35418770684579,12.0425903002421,4.80916750431062
"145",159,159,159,-123.16,44.36,815,NA,1665,0.48948948948949,"Collalti 2020, Nature","evergreen","Forest","Pseudotsuga menziesii",11.8563118251165,569.554857788086,10.8480002784729,1,6.34485510447834,2.38398075686848,0,NA,1,0,0.17,5.72134579730123,10.9015062743149,-0.0420482362434974,569.554857788086,6.34485510447834,28.8060679022471,3.3605860559999,11.8563118251165,4.62485586166382
"146",160,160,160,-123.96,44.6,800,50,1893,0.422609614368727,"Collalti 2020, Nature","deciduous","Forest","Pseudotsuga menziesi",10.8715964059035,456.770097351075,11.7735999774933,1,6.12418019505875,2.46585973495614,0,3.91202300542815,1,0,0.17,4.93453599482894,35.3353536025601,-0.312069760508611,456.770097351075,6.12418019505875,28.5016348739465,3.34996144962748,10.8715964059035,7.2573118209839
"147",161,161,161,11.16,46.21,959,10,1263,0.759303246239113,"Collalti 2020, Nature","deciduous","Forest","Malus domestica",12.2742130735789,657.900001831059,10.2857141494751,0.915068493150685,6.48905294687514,2.33075595671527,-0.0887563606057911,2.30258509299405,0.920547945205479,-0.0827861936192873,0.24,7.4,42.3944975756193,1.14886337347722,627.735739746099,6.44211928132583,28.1743121034452,3.33841064448831,11.2330933996788,-0.219223013222157
"148",162,162,162,173.28,-41.27,NA,52,3710,0.377358490566038,"Collalti 2020, Nature","deciduous","Forest","Nothofagus solandri",12.7926638293271,569.364458007839,14.4881869659424,1,6.34452075281817,2.67333362538067,0,3.95124371858143,1,0,0.005,5.01059754937401,44.724580478339,-0.500775287912488,571.463681640653,6.34820093203032,31.6613914759954,3.45509800408705,12.7926638293272,8.1669332790381
"149",163,163,163,173.28,-41.27,NA,53,1570,0.643312101910828,"Collalti 2020, Nature","deciduous","Forest","Nothofagus solandri",12.7926638293271,569.364458007839,14.4881869659424,1,6.34452075281817,2.67333362538067,0,3.97029191355212,1,0,0.005,5.01059754937401,44.724580478339,0.58976882610611,571.463681640653,6.34820093203032,31.6613914759954,3.45509800408705,12.7926638293272,8.1669332790381
"150",164,164,164,173.28,-41.27,NA,20,5560,0.370503597122302,"Collalti 2020, Nature","evergreen","Forest","Pinus contorta",12.7926638293271,569.364458007839,14.4881869659424,1,6.34452075281817,2.67333362538067,0,2.99573227355399,1,0,0.005,5.01059754937401,44.724580478339,-0.530056985693879,571.463681640653,6.34820093203032,31.6613914759954,3.45509800408705,12.7926638293272,8.1669332790381
"151",165,165,165,173.28,-41.27,NA,23,2919,0.431654676258993,"Collalti 2020, Nature","evergreen","Forest","Pinus contorta",12.7926638293271,569.364458007839,14.4881869659424,1,6.34452075281817,2.67333362538067,0,3.13549421592915,1,0,0.005,5.01059754937401,44.724580478339,-0.27510329024492,571.463681640653,6.34820093203032,31.6613914759954,3.45509800408705,12.7926638293272,8.1669332790381
"152",166,166,166,3.6,43.74,490,40,1413,0.346779900920028,"Collalti 2020, Nature","evergreen","Forest","Quercus ilex",13.6329709013302,719.021368408198,9.44426667022705,1,6.5778910769014,2.24540785582451,0,3.68887945411394,1,0,0.27,6.7,29.0165653397521,-0.633223843398181,719.021368408198,6.5778910769014,31.0519892573357,3.43566287258613,13.6329709013302,5.84497823715198
"153",167,167,167,79.05,35.58,730,48,2170,0.336405529953917,"Collalti 2020, Nature","deciduous","Forest","Liriodendron tulipifera",2.46149053573604,306.319544982909,9,0.16986301369863,5.72462882173737,2.19722457733622,-1.7727629685374,3.87120101090789,0.175342465753425,-1.74101427022282,0.23,7.5,27.879491995597,-0.67935385842761,159.442998504638,5.07168648220435,51.9769311904908,3.950799989196,-10.1152962977687,-22.6788883209228
"154",168,168,168,148.56,-35.21,1110,NA,2415,0.459627329192547,"Collalti 2020, Nature","evergreen","Forest","Pinus radiata",10.9479588301977,580.049877929698,9.52255000000001,1,6.3631140962735,2.25366267007881,0,NA,0.956164383561644,-0.0448254313800644,0.63,6.2,51.3703130616623,-0.161843025450412,580.049877929698,6.3631140962735,35.6755723579727,3.57446620690548,10.9479588301979,3.48471731185934
